ID	institucion	acreditacion	carrera	area	desercionagno1	duracion	empleabilidadagno1	ingresoagno4	arancel	IE_MAT	tipo_institucion	CLASIFICACION_INSTITUCION_NIVEL_0	CLASIFICACION_INSTITUCION_NIVEL_1	CLASIFICACION_INSTITUCION_NIVEL_3
1389	CFT Fontanar	No	Técnico en Enfermería	Salud	0,310344827586207	5,7	0,857142857142857	s/i	920796	CFT FONTANAR	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
139	Pontificia Universidad Católica de Chile	7 años	Construcción Civil	Tecnología	0,153846153846154	13,2	0,932735426008969	De $1 millón 200 mil a $1 millón 400 mil	4020000	PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE	UNIVERSIDAD PARTICULAR CON APORTE	UNIVERSIDAD	UNIVERSIDAD CRUCH	UNIVERSIDADES PARTICULARES CON APORTE
1390	CFT INACAP	6 años	Técnico en Enfermería	Salud	0,231980617807389	6,5	0,715709539629805	Menor a $400 mil	1318487	CFT INACAP	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
1394	CFT Magnos	No	Técnico en Enfermería	Salud	0,417218543046358	6,2	0,910828025477707	s/i	988000	CFT MAGNOS	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
1395	CFT Massachusetts	No	Técnico en Enfermería	Salud	0,260416666666667	7,1	0,714285714285714	Menor a $400 mil	894631	CFT MASSACHUSETTS	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
1396	CFT Profasoc	No	Técnico de Nivel Superior en Enfermería	Salud	0,355932203389831	7,8	0,804878048780488	s/i	1000000	CFT PROFASOC	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
1397	CFT Santo Tomás	4 años	Técnico en Enfermería	Salud	0,216060225846926	6,7	0,749017295597484	Menor a $400 mil	1252721	CFT SANTO TOMAS	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
1398	CFT Simón Bolívar	No	Técnico en Enfermería Médica	Salud	0,698224852071006	7,5	0,820987654320988	s/i	620000	CFT SIMON BOLIVAR	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
1399	CFT UValpo	No	Técnico de Nivel Superior en Enfermería	Salud	0,0512820512820513	7,6	0,714285714285714	Menor a $400 mil	1134346	CFT U.VALPO.	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
14	Universidad de Antofagasta	4 años	Administración de Empresas mención RR.HH.	Administración y Comercio	0,285714285714286	14,0	0,930232558139535	s/i	2335000	UNIVERSIDAD DE ANTOFAGASTA	UNIVERSIDAD ESTATAL	UNIVERSIDAD	UNIVERSIDAD CRUCH	UNIVERSIDAD ESTATAL
140	Universidad de Las Américas	3 años	Construcción Civil	Tecnología	0,166666666666667	s/i	0,915492957746479	De $800 mil a $1 millón	2545682	UNIVERSIDAD DE LAS AMERICAS	UNIVERSIDAD PARTICULAR	UNIVERSIDAD	UNIVERSIDAD PRIVADA	UNIVERSIDAD PRIVADA
1400	CFT INACAP	6 años	Técnico en Farmacia	Salud	0,25	6,2	0,577464788732394	s/i	1180742	CFT INACAP	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
1401	Universidad del Pacífico	3 años	Fotografía	Arte y Arquitectura	0,125	5,9	0,450980392156863	s/i	2488000	UNIVERSIDAD DEL PACIFICO	UNIVERSIDAD PARTICULAR	UNIVERSIDAD	UNIVERSIDAD PRIVADA	UNIVERSIDAD PRIVADA
