agno	rbd	nombre_establecimiento	nombre_comuna	numero_region	dependencia	area_geografica	financiamiento	psu_lenguaje	psu_matematica	ive_basica	ive_media	numero_alumnos
2011	19974	COMPLEJO EDUCACIONAL LA FRONTERA	TEMUCO	9	Particular Subvencionado	RURAL	1064306342	387	413	83.3333333333	89.1139240506	886
2011	19975	COMPLEJO EDUCACIONAL EDUCASE	ANGOL	9	Particular Subvencionado	URBANO	72058443	359	384		93.2773109243	98
2011	19981	COLEGIO NUEVA CONCEPCION	TEMUCO	9	Particular Subvencionado	URBANO	135420574	520	519	29.7709923664	46.7391304347	250
2011	20025	ESCUELA ARTISTICA ARMANDO DUFEY BLANC	TEMUCO	9	Municipal	URBANO	667924654	518	506	42.2608695652	54.8042704626	949
2011	20037	LICEO COMERCIAL DEL DESARROLLO	TEMUCO	9	Particular Subvencionado	URBANO	1130364900	446	444		74.87212276210001	1433
2011	20041	ESCUELA PARTICULAR CLAUDIO ARRAU	VILLARRICA	9	Particular Subvencionado	RURAL	401216961	465	469	82.04225352109999	69.44444444440001	401
2011	20048	COLEGIO SCOLE CREARE	TEMUCO	9	Particular Subvencionado	URBANO	423987936	537	520	32	45.7831325301	727
2011	20052	COMPLEJO EDUCACIONAL VICTORIA	VICTORIA	9	Particular Subvencionado	URBANO	471036971	384	382	75	82.0143884892	655
2011	20074	CAMBRIDGE COLLEGE PRIMAVERA	VILCÚN	9	Particular Subvencionado	RURAL	348661435	502	501	43.7735849056	50.4201680672	423
2011	20085	COLEGIO GOLDEN SCHOOL	TEMUCO	9	Particular Subvencionado	URBANO	186855338	514	500	44.3548387096	50	258
2011	20090	COLEGIO LEONARDO DA VINCI SCHOOL	PITRUFQUÉN	9	Particular Subvencionado	URBANO	231764643	554	548	32.2751322751	41.1111111111	303
2011	20095	COLEGIO CAMILO HENRIQUEZ DE PEDREGOSO	VILLARRICA	9	Particular Subvencionado	RURAL	313895622	460	444	81.4814814814	86.524822695	293
2011	20103	LICEO MUNICIPAL LUMACO	LUMACO	9	Municipal	URBANO	315711899	390	380		95.1219512195	287
2011	20114	LICEO AMERICO VESPUCIO	TEMUCO	9	Particular Subvencionado	URBANO	61101550	419	419		86.4864864864	104
2011	20123	LICEO TECNICO PROFESIONAL PAILAHUEQUE	ERCILLA	9	Particular Subvencionado	RURAL	453151126	335	367		94.70198675490001	204
2011	20127	LICEO TECN. PROF. FORESTAL PEHUEN	PADRE LAS CASAS	9	Particular Subvencionado	RURAL	403620788	400	407		93.1297709923	231
2011	20136	LICEO POLITECNICO LOS NOGALES	ANGOL	9	Particular Subvencionado	URBANO	188930135	389	407		88.98305084739999	191
