agno	rbd	nombre_establecimiento	nombre_comuna	numero_region	dependencia	area_geografica	financiamiento	psu_lenguaje	psu_matematica	ive_media
2011	13446	MARIA EDUCA	LA SERENA	4	Particular Subvencionado	URBANO	551355554	526	538	46.017699115
2011	13450	COLEGIO ANDRES BELLO - PAMPA	LA SERENA	4	Particular Subvencionado	URBANO	758761604	591	633	37.5
2011	13461	LICEO CARMEN AURORA RODRIGUEZ HENRIQUEZ	COQUIMBO	4	Municipal	URBANO	195881306	394	386	82.4175824175
2011	13475	COLEGIO SAN MARTIN DE PORRES	LA SERENA	4	Particular Subvencionado	URBANO	766425208	441	420	79.55555555550001
2011	13486	COLEGIO  SAN FRANCISCO JAVIER	LOS VILOS	4	Particular Subvencionado	URBANO	676575779	451	452	70.1086956521
2011	13491	COLEGIO ALTAZOR	COQUIMBO	4	Particular Subvencionado	URBANO	421901741	443	466	55.7522123893
2011	13503	COLEGIO VALENTIN LETELIER	LA SERENA	4	Particular Subvencionado	URBANO	278398135	451	478	53.2407407407
2011	13504	COLEGIO SAN LORENZO	COQUIMBO	4	Particular Subvencionado	URBANO	427552511	451	461	66.66666666659999
2011	13513	INSTITUTO DEMETRIO TELLO ULLOA	OVALLE	4	Particular Subvencionado	URBANO	308818248	423	430	65.7657657657
2011	13537	LICEO PADRE COLL	LA SERENA	4	Particular Subvencionado	URBANO	259139415	499	509	53.0303030303
2011	13545	ESCUELA BASICA SAN FRANCISCO DE BORJA	COMBARBALÁ	4	Particular Subvencionado	URBANO	414639532	398	416	86.01398601389999
2011	13551	COLEGIO MANANTIAL	OVALLE	4	Particular Subvencionado	URBANO	334301354	446	437	85.632183908
2011	13553	COLEGIO SANTA HELENA COLLEGE	COQUIMBO	4	Particular Subvencionado	URBANO	124021589	402	409	69.5652173913
2011	13558	INSTITUTO DE ADM. Y COMERCIO ESTADO DE ISRAEL	COQUIMBO	4	Municipal	URBANO	441380300	470	487	61.6570327552
2011	13561	LIC.DE CIENC.Y HUM.SAN JOSEMARIA ESCRIVA	COQUIMBO	4	Municipal	URBANO	353343332	467	474	64.5161290322
2011	13573	COLEGIO TAMELCURA	OVALLE	4	Particular Subvencionado	URBANO	308983383	570	636	59.420289855
2011	13576	LICEO TECNICO FEMENINO LAS COMPANIAS	LA SERENA	4	Municipal	URBANO	295519927	414	374	77.5720164609
2011	13580	COLEGIO PAULO FREIRE	LA SERENA	4	Particular Subvencionado	RURAL	282428665	440	379	
2011	13582	COLEGIO TECNICO PROFESIONAL FLORENCIA NIGHTIN	LA SERENA	4	Particular Subvencionado	URBANO	289100833	399	427	67.9867986798
2011	13590	LICEO EL INGENIO	OVALLE	4	Municipal	URBANO	372850531	399	421	86.943620178
2011	13604	COLEGIO RAKIDUAM	COQUIMBO	4	Particular Subvencionado	URBANO	376201507	442	449	58.6956521739
2011	13606	COLEGIO LEONARDO DA VINCI - VICUÐA	VICUÑA	4	Particular Subvencionado	URBANO	920469740	474	467	71.74721189589999
2011	13612	COLEGIO JOSE MARTI PEREZ	COQUIMBO	4	Particular Subvencionado	URBANO	261929846	420	399	
2011	13621	COLEGIO DISCOVERY	COQUIMBO	4	Particular Subvencionado	URBANO	368090352	424	442	69.60784313720001
2011	13626	COLEGIO SAN LUIS	COQUIMBO	4	Particular Subvencionado	URBANO	195244837	415	412	72.2891566265
2011	14202	COLEGIO PANQUEHUE	PANQUEHUE	5	Municipal	RURAL	160701677	427	397	81.20805369120001
2011	14206	LICEO AGRICOLA DE QUILLOTA	QUILLOTA	5	Municipal	RURAL	105599797	361	374	82.7868852459
2011	14210	COLEGIO BECARB II	LA CALERA	5	Particular Subvencionado	URBANO	967574990	450	474	70.7495429616
2011	14211	AMERICAN COLLEGE	VILLA ALEMANA	5	Particular Subvencionado	URBANO	364579842	486	490	53.6723163841
