agno	rbd	nombre_comuna	numero_region	dependencia	area_geografica	financiamiento
2011	254	CALAMA	2	Particular Subvencionado	URBANO	866746610
2011	255	CALAMA	2	Particular Subvencionado	URBANO	827892681
2011	256	CALAMA	2	Particular Subvencionado	URBANO	1189659118
2011	257	CALAMA	2	Particular Subvencionado	URBANO	1037338447
2011	262	CALAMA	2	Particular Subvencionado	URBANO	173189505
2011	265	CALAMA	2	Municipal	URBANO	101452194
2011	268	OLLAGÜE	2	Municipal	RURAL	46516843
2011	269	SAN PEDRO DE ATACAMA	2	Municipal	URBANO	641759025
2011	270	SAN PEDRO DE ATACAMA	2	Municipal	URBANO	156718265
2011	271	SAN PEDRO DE ATACAMA	2	Municipal	RURAL	30203251
2011	273	SAN PEDRO DE ATACAMA	2	Municipal	RURAL	31258701
2011	274	SAN PEDRO DE ATACAMA	2	Municipal	RURAL	47205835
2011	275	SAN PEDRO DE ATACAMA	2	Municipal	RURAL	34498908
2011	276	SAN PEDRO DE ATACAMA	2	Municipal	RURAL	28362753
2011	277	SAN PEDRO DE ATACAMA	2	Municipal	RURAL	74003973
2011	279	ANTOFAGASTA	2	Municipal	URBANO	1327102130
2011	280	ANTOFAGASTA	2	Municipal	URBANO	1222966563
2011	282	ANTOFAGASTA	2	Municipal	URBANO	50387641
2011	283	ANTOFAGASTA	2	Municipal	URBANO	1005930375
2011	284	ANTOFAGASTA	2	Municipal	URBANO	1077729437
2011	285	ANTOFAGASTA	2	Municipal	URBANO	926081257
2011	286	ANTOFAGASTA	2	Municipal	URBANO	577792818
2011	287	ANTOFAGASTA	2	Municipal	URBANO	748713397
2011	288	ANTOFAGASTA	2	Municipal	URBANO	1150547173
2011	289	ANTOFAGASTA	2	Municipal	URBANO	409970901
2011	291	ANTOFAGASTA	2	Municipal	URBANO	1095482260
2011	292	ANTOFAGASTA	2	Municipal	URBANO	521164864
2011	293	ANTOFAGASTA	2	Municipal	URBANO	1078923707
2011	294	ANTOFAGASTA	2	Municipal	URBANO	675749905
2011	296	ANTOFAGASTA	2	Municipal	URBANO	560093826
2011	297	ANTOFAGASTA	2	Municipal	URBANO	506602732
2011	298	ANTOFAGASTA	2	Municipal	URBANO	333217882
2011	301	ANTOFAGASTA	2	Municipal	URBANO	560196657
2011	302	ANTOFAGASTA	2	Municipal	URBANO	429609962
2011	303	ANTOFAGASTA	2	Municipal	URBANO	340863194
2011	304	ANTOFAGASTA	2	Municipal	URBANO	945167466
2011	305	ANTOFAGASTA	2	Municipal	URBANO	938420425
2011	306	ANTOFAGASTA	2	Municipal	URBANO	236257784
2011	307	ANTOFAGASTA	2	Municipal	URBANO	189817032
2011	310	ANTOFAGASTA	2	Municipal	URBANO	566012512
2011	311	ANTOFAGASTA	2	Municipal	URBANO	323491110
2011	312	ANTOFAGASTA	2	Municipal	URBANO	494403284
2011	313	ANTOFAGASTA	2	Municipal	URBANO	927679303
2011	315	ANTOFAGASTA	2	Municipal	URBANO	287295254
2011	316	ANTOFAGASTA	2	Municipal	URBANO	483732172
2011	317	ANTOFAGASTA	2	Municipal	URBANO	1063552518
2011	318	ANTOFAGASTA	2	Municipal	URBANO	216417693
2011	319	ANTOFAGASTA	2	Municipal	URBANO	1013185851
2011	320	ANTOFAGASTA	2	Municipal	URBANO	684029309
2011	322	ANTOFAGASTA	2	Municipal	URBANO	420723093
2011	324	ANTOFAGASTA	2	Municipal	URBANO	383330696
2011	326	ANTOFAGASTA	2	Municipal	URBANO	411948761
2011	329	ANTOFAGASTA	2	Municipal	URBANO	235865273
2011	330	ANTOFAGASTA	2	Municipal	URBANO	137984872
2011	332	ANTOFAGASTA	2	Municipal	URBANO	363271515
2011	333	ANTOFAGASTA	2	Municipal	URBANO	139891312
2011	335	ANTOFAGASTA	2	Particular Subvencionado	URBANO	408010561
2011	336	ANTOFAGASTA	2	Particular Subvencionado	URBANO	974618490
2011	337	ANTOFAGASTA	2	Particular Subvencionado	URBANO	615949831
